description,experiment,shock,treatment,cultivation_day,person,cultivation,cultivation_media,bile_acids,CFU
temperature&wash&cultivation1daysOnSolidMedia,3,Heat_shock,cult_T30,1,UM,cultivationSolid,solid,no,3
temperature&wash&cultivation1daysOnSolidMedia,3,Heat_shock,cult_T30,1,UM,cultivationSolid,solid,yes,300
temperature&wash&cultivation1daysOnSolidMedia,3,Heat_shock,cult_T30,1,TZ,cultivationSolid,solid,yes,90
temperature&wash&cultivation1daysOnSolidMedia,3,Heat_shock,cult_T30,1,TZ,cultivationSolid,solid,no,1
temperature&wash&cultivation1daysOnSolidMedia,3,Heat_shock,cult_T60,1,UM,cultivationSolid,solid,no,300
temperature&wash&cultivation1daysOnSolidMedia,3,Heat_shock,cult_T60,1,UM,cultivationSolid,solid,yes,300
temperature&wash&cultivation1daysOnSolidMedia,3,Heat_shock,cult_T60,1,TZ,cultivationSolid,solid,no,1
temperature&wash&cultivation1daysOnSolidMedia,3,Heat_shock,cult_T60,1,TZ,cultivationSolid,solid,yes,57
ethanol&wash&cultivation1daysOnSolidMedia,3,Ethanol_shock,cult_100,1,UM,cultivationSolid,solid,no,215
ethanol&wash&cultivation1daysOnSolidMedia,3,Ethanol_shock,cult_100,1,UM,cultivationSolid,solid,yes,300
ethanol&wash&cultivation1daysOnSolidMedia,3,Ethanol_shock,cult_100,1,TZ,cultivationSolid,solid,no,6
ethanol&wash&cultivation1daysOnSolidMedia,3,Ethanol_shock,cult_100,1,TZ,cultivationSolid,solid,yes,64
ethanol&wash&cultivation1daysOnSolidMedia,3,Ethanol_shock,cult_70,1,UM,cultivationSolid,solid,no,128
ethanol&wash&cultivation1daysOnSolidMedia,3,Ethanol_shock,cult_70,1,UM,cultivationSolid,solid,yes,300
temperature&wash&cultivation2daysInLiquidMedia,3,Heat_shock,cult_T30,1,UM,cultivationLiquid,liquid,no,300
temperature&wash&cultivation2daysInLiquidMedia,3,Heat_shock,cult_T30,1,UM,cultivationLiquid,liquid,yes,0
temperature&wash&cultivation2daysInLiquidMedia,3,Heat_shock,cult_T30,1,TZ,cultivationLiquid,liquid,no,300
temperature&wash&cultivation2daysInLiquidMedia,3,Heat_shock,cult_T30,1,TZ,cultivationLiquid,liquid,yes,0
temperature&wash&cultivation2daysInLiquidMedia,3,Heat_shock,cult_T60,1,TZ,cultivationLiquid,liquid,no,300
temperature&wash&cultivation2daysInLiquidMedia,3,Heat_shock,cult_T60,1,TZ,cultivationLiquid,liquid,yes,0
temperature&wash&cultivation2daysInLiquidMedia,3,Heat_shock,cult_T60,1,UM,cultivationLiquid,liquid,no,300
temperature&wash&cultivation2daysInLiquidMedia,3,Heat_shock,cult_T60,1,UM,cultivationLiquid,liquid,yes,1
ethanol&wash&cultivation2daysInLiquidMedia,3,Ethanol_shock,cult_100,1,UM,cultivationLiquid,liquid,no,300
ethanol&wash&cultivation2daysInLiquidMedia,3,Ethanol_shock,cult_100,1,UM,cultivationLiquid,liquid,yes,12
ethanol&wash&cultivation2daysInLiquidMedia,3,Ethanol_shock,cult_100,1,TZ,cultivationLiquid,liquid,yes,0
ethanol&wash&cultivation2daysInLiquidMedia,3,Ethanol_shock,cult_100,1,TZ,cultivationLiquid,liquid,no,1
ethanol&wash&cultivation2daysInLiquidMedia,3,Ethanol_shock,cult_70,1,UM,cultivationLiquid,liquid,no,300
ethanol&wash&cultivation2daysInLiquidMedia,3,Ethanol_shock,cult_70,1,UM,cultivationLiquid,liquid,yes,300
temperature&wash&cultivation2daysOnSolidMedia,3,Heat_shock,cult_T30,2,UM,cultivationSolid,solid,no,110
temperature&wash&cultivation2daysOnSolidMedia,3,Heat_shock,cult_T30,2,UM,cultivationSolid,solid,yes,300
temperature&wash&cultivation2daysOnSolidMedia,3,Heat_shock,cult_T30,2,TZ,cultivationSolid,solid,no,46
temperature&wash&cultivation2daysOnSolidMedia,3,Heat_shock,cult_T30,2,TZ,cultivationSolid,solid,yes,193
temperature&wash&cultivation2daysOnSolidMedia,3,Heat_shock,cult_T60,2,TZ,cultivationSolid,solid,no,73
temperature&wash&cultivation2daysOnSolidMedia,3,Heat_shock,cult_T60,2,TZ,cultivationSolid,solid,yes,135
temperature&wash&cultivation2daysOnSolidMedia,3,Heat_shock,cult_T60,2,UM,cultivationSolid,solid,yes,300
temperature&wash&cultivation2daysOnSolidMedia,3,Heat_shock,cult_T60,2,UM,cultivationSolid,solid,no,285
ethanol&wash&cultivation2daysOnSolidMedia,3,Ethanol_shock,cult_100,2,UM,cultivationSolid,solid,no,144
