Group,description,experiment,shock,treatment,treatmentEMA,cultivation,cultivation_day,person,cultivation_media,bile_acids,isolation,DNAconcentration,aliquote
C1,microbiota,1,Non-treated,none,0,no,0,UM,without,no,PowerFecal,48.24,1
C2,microbiota,1,Non-treated,none,0,no,0,UM,without,no,PowerFecal,68.73,2
C3,microbiota,1,Non-treated,none,0,no,0,UM,without,no,PowerFecal,60.12,3
C4,microbiota,1,Non-treated,none,0,no,0,UM,without,no,PowerFecal,62.56,4
ES1,wash&ethanol,1,Ethanol_shock,wash_Et,,no,0,UM,without,no,MasterPure_MagNA,20.16,1
ES2,wash&ethanol,1,Ethanol_shock,wash_Et,,no,0,UM,without,no,MasterPure_MagNA,22.76,2
ES3,wash&ethanol,1,Ethanol_shock,wash_Et,,no,0,UM,without,no,MasterPure_MagNA,81.5,3
ES4,wash&ethanol,1,Ethanol_shock,wash_Et,,no,0,UM,without,no,MasterPure_MagNA,16.52,4
EE1,EMA&ethanol,1,Ethanol_shock,EMA5_Et,5,no,0,UM,without,no,MasterPure_MagNA,41.34,1
EE2,EMA&ethanol,1,Ethanol_shock,EMA5_Et,5,no,0,UM,without,no,MasterPure_MagNA,43.78,2
EE3,EMA&ethanol,1,Ethanol_shock,EMA5_Et,5,no,0,UM,without,no,MasterPure_MagNA,43.68,3
EE4,EMA&ethanol,1,Ethanol_shock,EMA5_Et,5,no,0,UM,without,no,MasterPure_MagNA,18.97,4
TS1,wash&temperature,1,Heat_shock,wash_T,,no,0,UM,without,no,MasterPure_MagNA,40.94,1
TS2,wash&temperature,1,Heat_shock,wash_T,,no,0,UM,without,no,MasterPure_MagNA,35.16,2
TS3,wash&temperature,1,Heat_shock,wash_T,,no,0,UM,without,no,MasterPure_MagNA,32.33,3
TS4,wash&temperature,1,Heat_shock,wash_T,,no,0,UM,without,no,MasterPure_MagNA,30.1,4
TE1,EMA&temperature,1,Heat_shock,EMA5_T,5,no,0,UM,without,no,MasterPure_MagNA,12.55,1
TE2,EMA&temperature,1,Heat_shock,EMA5_T,5,no,0,UM,without,no,MasterPure_MagNA,8.4,2
TE3,EMA&temperature,1,Heat_shock,EMA5_T,5,no,0,UM,without,no,MasterPure_MagNA,13.1,3
TE4,EMA&temperature,1,Heat_shock,EMA5_T,5,no,0,UM,without,no,MasterPure_MagNA,12.29,4
EE5,EMA&ethanol,2,Ethanol_shock,EMA5_Et,5,no,0,UM,without,no,MasterPure_MagNA,53.02,1
EE6,EMA&ethanol,2,Ethanol_shock,EMA5_Et,5,no,0,UM,without,no,MasterPure_MagNA,51.88,2
EE7,EMA&ethanol,2,Ethanol_shock,EMA5_Et,5,no,0,UM,without,no,MasterPure_MagNA,38.36,3
EE8,EMA&ethanol,2,Ethanol_shock,EMA5_Et,5,no,0,UM,without,no,MasterPure_MagNA,39.75,4
EE9,EMA&ethanol,2,Ethanol_shock,EMA10_Et,10,no,0,UM,without,no,MasterPure_MagNA,55.94,1
EE10,EMA&ethanol,2,Ethanol_shock,EMA10_Et,10,no,0,UM,without,no,MasterPure_MagNA,57.8,2
EE11,EMA&ethanol,2,Ethanol_shock,EMA10_Et,10,no,0,UM,without,no,MasterPure_MagNA,25.35,3
EE12,EMA&ethanol,2,Ethanol_shock,EMA10_Et,10,no,0,UM,without,no,MasterPure_MagNA,35.17,4
EE13,EMA&ethanol,2,Ethanol_shock,EMA15_Et,15,no,0,UM,without,no,MasterPure_MagNA,52.11,1
EE14,EMA&ethanol,2,Ethanol_shock,EMA15_Et,15,no,0,UM,without,no,MasterPure_MagNA,58.2,2
EE15,EMA&ethanol,2,Ethanol_shock,EMA15_Et,15,no,0,UM,without,no,MasterPure_MagNA,30.21,3
EE16,EMA&ethanol,2,Ethanol_shock,EMA15_Et,15,no,0,UM,without,no,MasterPure_MagNA,28.98,4
TE5,EMA&temperature,2,Heat_shock,EMA5_T,5,no,0,UM,without,no,MasterPure_MagNA,28.33,1
TE6,EMA&temperature,2,Heat_shock,EMA5_T,5,no,0,UM,without,no,MasterPure_MagNA,26.35,2
TE7,EMA&temperature,2,Heat_shock,EMA5_T,5,no,0,UM,without,no,MasterPure_MagNA,67.21,3
TE8,EMA&temperature,2,Heat_shock,EMA5_T,5,no,0,UM,without,no,MasterPure_MagNA,28.3,4
TE9,EMA&temperature,2,Heat_shock,EMA10_T,10,no,0,UM,without,no,MasterPure_MagNA,22.42,1
TE10,EMA&temperature,2,Heat_shock,EMA10_T,10,no,0,UM,without,no,MasterPure_MagNA,42.5,2
TE11,EMA&temperature,2,Heat_shock,EMA10_T,10,no,0,UM,without,no,MasterPure_MagNA,35.72,3
TE12,EMA&temperature,2,Heat_shock,EMA10_T,10,no,0,UM,without,no,MasterPure_MagNA,38.88,4
TE13,EMA&temperature,2,Heat_shock,EMA15_T,15,no,0,UM,without,no,MasterPure_MagNA,25.63,1
TE14,EMA&temperature,2,Heat_shock,EMA15_T,15,no,0,UM,without,no,MasterPure_MagNA,24.99,2
TE15,EMA&temperature,2,Heat_shock,EMA15_T,15,no,0,UM,without,no,MasterPure_MagNA,35.66,3
TE16,EMA&temperature,2,Heat_shock,EMA15_T,15,no,0,UM,without,no,MasterPure_MagNA,16.11,4
14DEt70,ethanol&wash&cultivation14daysOnSolidMedia,3,Ethanol_shock,cult_70,,cultivationSolid,14,UM,solid,no,PowerFecal,155.148
14DEt70Z,ethanol&wash&cultivation14daysOnSolidMedia,3,Ethanol_shock,cult_70,,cultivationSolid,14,UM,solid,yes,PowerFecal,129.079
14DTZ30,temperature&wash&cultivation14daysOnSolidMedia,3,Heat_shock,cult_T30,,cultivationSolid,14,TZ,solid,no,PowerFecal,140.111
14DTZ30Z,temperature&wash&cultivation14daysOnSolidMedia,3,Heat_shock,cult_T30,,cultivationSolid,14,TZ,solid,yes,PowerFecal,151.59
14DTZ60,temperature&wash&cultivation14daysOnSolidMedia,3,Heat_shock,cult_T60,,cultivationSolid,14,TZ,solid,no,PowerFecal,146.544
14DTZ60Z,temperature&wash&cultivation14daysOnSolidMedia,3,Heat_shock,cult_T60,,cultivationSolid,14,TZ,solid,yes,PowerFecal,107.352
14DTZEt,ethanol&wash&cultivation14daysOnSolidMedia,3,Ethanol_shock,cult_100,,cultivationSolid,14,TZ,solid,no,PowerFecal,150.59
14DTZEtZ,ethanol&wash&cultivation14daysOnSolidMedia,3,Ethanol_shock,cult_100,,cultivationSolid,14,TZ,solid,yes,PowerFecal,133.193
14DUM30,temperature&wash&cultivation14daysOnSolidMedia,3,Heat_shock,cult_T30,,cultivationSolid,14,UM,solid,no,PowerFecal,157.05
14DUM30Z,temperature&wash&cultivation14daysOnSolidMedia,3,Heat_shock,cult_T30,,cultivationSolid,14,UM,solid,yes,PowerFecal,131.48
14DUM60,temperature&wash&cultivation14daysOnSolidMedia,3,Heat_shock,cult_T60,,cultivationSolid,14,UM,solid,no,PowerFecal,148.677
14DUM60Z,temperature&wash&cultivation14daysOnSolidMedia,3,Heat_shock,cult_T60,,cultivationSolid,14,UM,solid,yes,PowerFecal,134.638
14DUMEt,ethanol&wash&cultivation14daysOnSolidMedia,3,Ethanol_shock,cult_100,,cultivationSolid,14,UM,solid,no,PowerFecal,152.614
14DUMEtZ,ethanol&wash&cultivation14daysOnSolidMedia,3,Ethanol_shock,cult_100,,cultivationSolid,14,UM,solid,yes,PowerFecal,150.163
2DEt70,ethanol&wash&cultivation2daysOnSolidMedia,3,Ethanol_shock,cult_70,,cultivationSolid,2,UM,solid,no,PowerFecal,118.336
2DEt70Z,ethanol&wash&cultivation2daysOnSolidMedia,3,Ethanol_shock,cult_70,,cultivationSolid,2,UM,solid,yes,PowerFecal,131.938
2DTZ30,temperature&wash&cultivation2daysOnSolidMedia,3,Heat_shock,cult_T30,,cultivationSolid,2,TZ,solid,no,PowerFecal,55.29
2DTZ30Z,temperature&wash&cultivation2daysOnSolidMedia,3,Heat_shock,cult_T30,,cultivationSolid,2,TZ,solid,yes,PowerFecal,0.454
2DTZ60,temperature&wash&cultivation2daysOnSolidMedia,3,Heat_shock,cult_T60,,cultivationSolid,2,TZ,solid,no,PowerFecal,53.988
2DTZ60Z,temperature&wash&cultivation2daysOnSolidMedia,3,Heat_shock,cult_T60,,cultivationSolid,2,TZ,solid,yes,PowerFecal,50.135
2DTZEt,ethanol&wash&cultivation2daysOnSolidMedia,3,Ethanol_shock,cult_100,,cultivationSolid,2,TZ,solid,no,PowerFecal,124.437
2DTZEtZ,ethanol&wash&cultivation2daysOnSolidMedia,3,Ethanol_shock,cult_100,,cultivationSolid,2,TZ,solid,yes,PowerFecal,67.749
2DUM30,temperature&wash&cultivation2daysOnSolidMedia,3,Heat_shock,cult_T30,,cultivationSolid,2,UM,solid,no,PowerFecal,81.63
2DUM30Z,temperature&wash&cultivation2daysOnSolidMedia,3,Heat_shock,cult_T30,,cultivationSolid,2,UM,solid,yes,PowerFecal,154.564
2DUM60,temperature&wash&cultivation2daysOnSolidMedia,3,Heat_shock,cult_T60,,cultivationSolid,2,UM,solid,no,PowerFecal,103.734
2DUM60Z,temperature&wash&cultivation2daysOnSolidMedia,3,Heat_shock,cult_T60,,cultivationSolid,2,UM,solid,yes,PowerFecal,130.185
2DUMEt,ethanol&wash&cultivation2daysOnSolidMedia,3,Ethanol_shock,cult_100,,cultivationSolid,2,UM,solid,no,PowerFecal,88.388
2DUMEtZ,ethanol&wash&cultivation2daysOnSolidMedia,3,Ethanol_shock,cult_100,,cultivationSolid,2,UM,solid,yes,PowerFecal,113.615
5DEt70,ethanol&wash&cultivation5daysOnSolidMedia,3,Ethanol_shock,cult_70,,cultivationSolid,5,UM,solid,no,PowerFecal,146.907
5DEt70Z,ethanol&wash&cultivation5daysOnSolidMedia,3,Ethanol_shock,cult_70,,cultivationSolid,5,UM,solid,yes,PowerFecal,98.216
5DTZ30,temperature&wash&cultivation5daysOnSolidMedia,3,Heat_shock,cult_T30,,cultivationSolid,5,TZ,solid,no,PowerFecal,141.213
5DTZ30Z,temperature&wash&cultivation5daysOnSolidMedia,3,Heat_shock,cult_T30,,cultivationSolid,5,TZ,solid,yes,PowerFecal,148.26
5DTZ60,temperature&wash&cultivation5daysOnSolidMedia,3,Heat_shock,cult_T60,,cultivationSolid,5,TZ,solid,no,PowerFecal,4.802
