Group,Organism,Group,Protocol,Amount_mg,Concentration
H1P,Human,Human1,PowerFecal,257,110.61
H2P,Human,Human1,PowerFecal,266,119.7
H3P,Human,Human1,PowerFecal,245,115.86
H4P,Human,Human2,PowerFecal,260,132.7
H5P,Human,Human2,PowerFecal,270,133.3
H6P,Human,Human2,PowerFecal,340,129.22
H7P,Human,Human3,PowerFecal,235,129.96
H8P,Human,Human3,PowerFecal,262,119.68
H9P,Human,Human3,PowerFecal,261,129.03
H1F,Human,Human1,FastDNA,250,12.7
H2F,Human,Human1,FastDNA,265,17.92
H3F,Human,Human1,FastDNA,280,10.73
H4F,Human,Human2,FastDNA,240,29.66
H5F,Human,Human2,FastDNA,226,21.42
H6F,Human,Human2,FastDNA,270,20.52
H7F,Human,Human3,FastDNA,260,28.25
H8F,Human,Human3,FastDNA,253,17.3
H9F,Human,Human3,FastDNA,276,29.79
H1N,Human,Human1,NucleoSpin,270,28.18
H2N,Human,Human1,NucleoSpin,277,8.87
H3N,Human,Human1,NucleoSpin,236,7.13
H4N,Human,Human2,NucleoSpin,239,9.12
H5N,Human,Human2,NucleoSpin,266,2.74
H6N,Human,Human2,NucleoSpin,250,9.9
H7N,Human,Human3,NucleoSpin,250,42.1
H8N,Human,Human3,NucleoSpin,290,46.29
H9N,Human,Human3,NucleoSpin,278,16.32
NCP,Negative_control,Negative_control,PowerFecal,0,-1.22
NCF,Negative_control,Negative_control,FastDNA,0,-1.26
NCD,Negative_control,Negative_control,DNAeasy,0,-1.24
NCN,Negative_control,Negative_control,NucleoSpin,0,-1.28
H1D,Human,Human1,DNAeasy,260,0.62
H2D,Human,Human1,DNAeasy,280,0.62
H3D,Human,Human1,DNAeasy,273,0.36
H4D,Human,Human2,DNAeasy,285,27.19
H5D,Human,Human2,DNAeasy,268,30.69
H6D,Human,Human2,DNAeasy,244,41.3
H7D,Human,Human3,DNAeasy,222,31.03
H8D,Human,Human3,DNAeasy,270,26.81
H9D,Human,Human3,DNAeasy,237,27.67
