Domain	Phylum	Class	Order	Family	Genus	Species	is_ethanol_resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Lachnospiraceae_unclassified	Eubacterium_rectale	Ethanol-resistant
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_uniformis	Ethanol-resistant
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola_vulgatus	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Fusicatenibacter	Fusicatenibacter_saccharivorans	Ethanol-resistant
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides_distasonis	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Anaerostipes	Anaerostipes_hadrus	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	Blautia_massiliensis	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Faecalibacterium	Faecalibacterium_prausnitzii	Non ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcus	Ruminococcus_bromii	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	Blautia_wexlerae	Ethanol-resistant
Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Dialister	Dialister_invisus	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Faecalibacterium	Faecalibacterium_sp_CLA_AA_H233	Non ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriales_unclassified	Gemmiger	Gemmiger_formicilis	Uncertain
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_stercoris	Uncertain
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_ovatus	Ethanol-resistant
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_faecis	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Lachnospira	Lachnospira_eligens	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Mediterraneibacter	Mediterraneibacter_faecis	Ethanol-resistant
Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_catenulatum	Non ethanol-resistant
Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_longum	Uncertain
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Mediterraneibacter	Ruminococcus_lactaris	Ethanol-resistant
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	Barnesiella_intestinihominis	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Lachnospiraceae_unclassified	Lachnospiraceae_bacterium_CLA_AA_H244	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	Blautia_SGB101324	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	GGB3740	GGB3740_SGB5076	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	Blautia_faecis	Ethanol-resistant
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola_dorei	Ethanol-resistant
Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriales_unclassified	Eubacteriales_unclassified	Clostridiales_bacterium_KLE1615	Ethanol-resistant
