locus_tag;organism;gene_id;gene_name;weight;Gene_ID
BSU_15030;Bacillus subtilis 168;936629;spoVV;0.95;NC_000964.3:c1571800-1570574
BSU_27970;Bacillus subtilis subsp. subtilis str. 168;937505;spoIVFB;0.98;NC_000964.3:c2856839-2855973
BSU_40410;Bacillus subtilis 168;937776;walR;0.91;NC_000964.3:c4154403-4153696
BSU_01690;Bacillus subtilis 168;938885;murR;0.88;NC_000964.3:c192034-191183
BSU_13710;Bacillus subtilis 168;939307;ykvI;0.92;NC_000964.3:1438092-1439135
BSU_16700;Bacillus subtilis 168;939649;ylxY;0.87;NC_000964.3:1741618-1742577
CD630_RS18820;Clostridioides difficile 630;4912896;spmB;0.97;NC_009089.1:c4137222-4136701
CD630_RS18825;Clostridioides difficile 630;4912897;spmA;0.95;NC_009089.1:c4137822-4137238
CD630_RS19535;Clostridioides difficile 630;4912991;noc;0.90;NC_009089.1:c4283060-4282275
CD630_RS08555;Clostridioides difficile 630;4913062;CD630_RS08555;0.83;NC_009089.1:1814421-1815098
CD630_RS18610;Clostridioides difficile 630;4913089;spoVT;0.82;NC_009089.1:c4088931-4088392
CD630_RS14080;Clostridioides difficile 630;4913102;spoIVA;0.95;NC_009089.1:c3039057-3037582
CD630_RS15860;Clostridioides difficile 630;4913168;dpsA;0.76;NC_009089.1:c3450252-3449377
CD630_RS03565;Clostridioides difficile 630;4913197;cotCB;1,00;NC_009089.1:721375-721947
CD630_RS06675;Clostridioides difficile 630;4913258;spoIIIAG;0.99;NC_009089.1:1398365-1398919
CD630_RS06680;Clostridioides difficile 630;4913259;spoIIIAH;0.89;NC_009089.1:1398946-1399635
CD630_RS06745;Clostridioides difficile 630;4913272;bltD;0.98;NC_009089.1:c1411236-1410796
CD630_RS00005;Clostridioides difficile 630;4913287;dnaA;0.84;NC_009089.1
CD630_RS14145;Clostridioides difficile 630;4913325;sigG;0.88;NC_009089.1:c3050565-3049792
CD630_RS14150;Clostridioides difficile 630;4913326;sigE;0.88;NC_009089.1:c3051379-3050657
CD630_RS14155;Clostridioides difficile 630;4913327;spoIIGA;0.98;NC_009089.1:c3052276-3051404
CD630_RS14185;Clostridioides difficile 630;4913333;ftsQ;0.76;NC_009089.1:c3058062-3057322
CD630_RS14195;Clostridioides difficile 630;4913335;spoVE;0.88;NC_009089.1:c3060706-3059576
CD630_RS03425;Clostridioides difficile 630;4913356;ytxC;0.93;NC_009089.1:680846-681664
CD630_RS04990;Clostridioides difficile 630;4913416;CD630_RS04990;0.93;NC_009089.1:1058654-1059697
CD630_RS11435;Clostridioides difficile 630;4913675;CD630_RS11435;0.80;NC_009089.1:2436461-2437807
CD630_RS07160;Clostridioides difficile 630;4913742;dacF;0.96;NC_009089.1:1498827-1499990
CD630_RS01160;Clostridioides difficile 630;4913806;yyaC;0.83;NC_009089.1:c173958-173449
CD630_RS11055;Clostridioides difficile 630;4913889;Ytvl;0.84;NC_009089.1:c2348806-2347715
CD630_RS18960;Clostridioides difficile 630;4914203;spoIIR;0.96;NC_009089.1:c4165966-4165307
CD630_RS18975;Clostridioides difficile 630;4914206;CD630_RS18975;0.85;NC_009089.1:c4169332-4167782
CD630_RS18985;Clostridioides difficile 630;4914208;yabG;0.95;NC_009089.1:c4170700-4169840
CD630_RS00585;Clostridioides difficile 630;4914213;CD630_RS00585;0.82;NC_009089.1:87581-88087
CD630_RS07380;Clostridioides difficile 630;4914363;CD630_RS07380;0.83;NC_009089.1:1547874-1549319
CD630_RS11130;Clostridioides difficile 630;4914464;CD630_RS11130;0.91;NC_009089.1:c2362337-2361465
CD630_RS07320;Clostridioides difficile 630;4914609;dapG;0.85;NC_009089.1:1532100-1533323
CD630_RS07325;Clostridioides difficile 630;4914610;clp;0.81;NC_009089.1:1533436-1534170
CD630_RS13885;Clostridioides difficile 630;4914711;CD630_RS13885;0.78;NC_009089.1:c2995701-2994820
CD630_RS06750;Clostridioides difficile 630;4914855;spoIVB;0.99;NC_009089.1:1411397-1412455
CD630_RS06755;Clostridioides difficile 630;4914856;spo0A;0.92;NC_009089.1:1412597-1413421
CD630_RS06810;Clostridioides difficile 630;4914867;pdp;0.87;NC_009089.1:1422882-1424207
CD630_RS05845;Clostridioides difficile 630;4915076;ytvl;0.82;NC_009089.1:1237997-1239049
CD630_RS14045;Clostridioides difficile 630;4915130;sepF;0.83;NC_009089.1:c3030231-3029773
CD630_RS12080;Clostridioides difficile 630;4915351;asrC;0.80;NC_009089.1:c2583587-2582616
CD630_RS04450;Clostridioides difficile 630;4915575;sigF;0.98;NC_009089.1:943319-944083
CD630_RS04460;Clostridioides difficile 630;4915577;spoVAD;0.94;NC_009089.1:944967-945980
CD630_RS08895;Clostridioides difficile 630;4915629;CD630_RS08895;0.79;NC_009089.1:c1890485-1889811
CD630_RS18585;Clostridioides difficile 630;4915642;CD630_RS18585;0.82;NC_009089.1:c4084361-4084107
CD630_RS06075;Clostridioides difficile 630;4915733;zupT;1,00;NC_009089.1:1280584-1281387
CD630_RS13130;Clostridioides difficile 630;4915820;CD630_RS13130;0.96;NC_009089.1:c2819598-2819362
CD630_RS06645;Clostridioides difficile 630;4916187;spoIIIAA;0.86;NC_009089.1:1394291-1395259
CD630_RS06650;Clostridioides difficile 630;4916188;spoIIIAB;0.83;NC_009089.1:1395249-1395770
CD630_RS06655;Clostridioides difficile 630;4916189;spoIIIAC;0.96;NC_009089.1:1395787-1395984
CD630_RS06660;Clostridioides difficile 630;4916190;spoIIIAD;0.77;NC_009089.1:1396000-1396386
CD630_RS06665;Clostridioides difficile 630;4916191;spoIIIAE;0.81;NC_009089.1:1396471-1397676
CD630_RS12285;Clostridioides difficile 630;4916413;ytvl;0.93;NC_009089.1:2635385-2636446
CD630_RS09210;Clostridioides difficile 630;4916443;trxB;0.92;NC_009089.1:1963584-1964462
CD630_RS13270;Clostridioides difficile 630;4916459;spoIIP;1,00;NC_009089.1:c2851332-2850313
CD630_RS13275;Clostridioides difficile 630;4916460;gpr;0.96;NC_009089.1:c2852303-2851350
CD630_RS00385;Clostridioides difficile 630;4916493;CD630_RS00385;0.92;NC_009089.1:41392-41886
CD630_RS16605;Clostridioides difficile 630;4916521;abrB;0.97;NC_009089.1:c3634109-3633684
CD630_RS13415;Clostridioides difficile 630;4916623;CD630_RS13415;0.94;NC_009089.1:2882690-2883979
CD630_RS00540;Clostridioides difficile 630;4916667;rlmB;0.91;NC_009089.1:81671-82408
CD630_RS00550;Clostridioides difficile 630;4916669;sigH;0.79;NC_009089.1:83003-83650
CD630_12300;Clostridioides difficile 630;22203852;sigK;;NC_009089.1:c1444739-1429412
CSBG_02367;Clostridium sp. ;NA;CSBG_02367;;NW_002475862.1:2613644-2616265
