AEDPJKHF_01491	group_4968
AEDPJKHF_02692	group_111
AEDPJKHF_03650	group_19
AEDPJKHF_03730	group_2735
AEDPJKHF_03731	group_2732
AEDPJKHF_03777	group_2628
ANINIDCB_00695	group_109
ANINIDCB_01689	group_3257
ANINIDCB_02187	group_522
BOKAGMOO_00135	group_5218
BOKAGMOO_00306	group_9
BOKAGMOO_00307	group_783
BOKAGMOO_00429	group_4953
BOKAGMOO_00441	group_4954
BOKAGMOO_00565	group_429
BOKAGMOO_00566	group_2131
BOKAGMOO_00635	group_3261
BOKAGMOO_00636	group_3262
BOKAGMOO_00637	group_3263
BOKAGMOO_00638	group_3264
BOKAGMOO_00639	group_3265
BOKAGMOO_00640	group_3266
BOKAGMOO_00641	group_3267
BOKAGMOO_00642	group_3268
BOKAGMOO_00643	group_3269
BOKAGMOO_00644	group_4955
BOKAGMOO_00645	group_3270
BOKAGMOO_00646	group_3271
BOKAGMOO_00647	group_5219
BOKAGMOO_00648	group_3272
BOKAGMOO_00649	group_3273
BOKAGMOO_00650	group_3274
BOKAGMOO_00651	group_3275
BOKAGMOO_00652	group_3276
BOKAGMOO_00653	group_148
BOKAGMOO_00654	group_3277
BOKAGMOO_00655	recD
BOKAGMOO_00656	group_3279
BOKAGMOO_00657	group_3280
BOKAGMOO_00658	group_3281
BOKAGMOO_00659	group_3282
BOKAGMOO_00660	group_3283
BOKAGMOO_00661	group_10
BOKAGMOO_00662	group_784
BOKAGMOO_00663	group_3284
BOKAGMOO_00664	group_3285
BOKAGMOO_00665	group_3286
BOKAGMOO_00666	group_3287
BOKAGMOO_00667	group_3288
BOKAGMOO_00668	group_3289
BOKAGMOO_00669	group_3290
BOKAGMOO_00670	group_3291
BOKAGMOO_00671	era_1
BOKAGMOO_00672	der_1
BOKAGMOO_00673	group_3294
BOKAGMOO_00674	group_3295
BOKAGMOO_00675	group_3296
BOKAGMOO_00676	group_3297
BOKAGMOO_00677	group_3298
BOKAGMOO_00678	group_3299
BOKAGMOO_00679	group_3300
BOKAGMOO_00684	group_3301
BOKAGMOO_00685	group_3302
BOKAGMOO_00776	group_5220
BOKAGMOO_00784	group_4945
BOKAGMOO_00802	group_397
BOKAGMOO_00806	group_455
BOKAGMOO_00826	group_5221
BOKAGMOO_00847	group_3312
BOKAGMOO_00848	socA
BOKAGMOO_00850	group_1334
BOKAGMOO_00851	group_1336
BOKAGMOO_00859	group_3314
BOKAGMOO_00876	group_3315
BOKAGMOO_00894	group_3316
BOKAGMOO_00897	group_3317
BOKAGMOO_00898	group_3318
BOKAGMOO_00899	group_3319
BOKAGMOO_00902	group_3320
BOKAGMOO_00903	group_3321
BOKAGMOO_00908	group_3322
BOKAGMOO_00910	group_3323
BOKAGMOO_00911	group_3324
BOKAGMOO_00912	group_3325
BOKAGMOO_00913	group_3326
BOKAGMOO_00914	group_3327
BOKAGMOO_00915	group_3328
BOKAGMOO_00916	group_3329
BOKAGMOO_00918	group_3330
BOKAGMOO_00921	group_3331
BOKAGMOO_00922	group_3332
BOKAGMOO_00923	group_3333
BOKAGMOO_00924	group_3334
BOKAGMOO_00925	group_3335
BOKAGMOO_00926	group_3336
BOKAGMOO_00927	immA_2
BOKAGMOO_00980	group_2132
BOKAGMOO_00981	group_430
BOKAGMOO_00982	group_510
BOKAGMOO_01014	group_149
BOKAGMOO_01017	group_514
BOKAGMOO_01019	group_3338
BOKAGMOO_01020	group_3339
BOKAGMOO_01021	group_3340
BOKAGMOO_01022	group_3341
BOKAGMOO_01024	group_3342
BOKAGMOO_01028	group_3343
BOKAGMOO_01031	group_3344
BOKAGMOO_01033	group_3345
BOKAGMOO_01036	group_3346
BOKAGMOO_01037	group_3347
BOKAGMOO_01039	group_3348
BOKAGMOO_01040	group_3349
BOKAGMOO_01042	group_3350
BOKAGMOO_01043	group_3351
BOKAGMOO_01044	group_3352
BOKAGMOO_01045	group_3353
BOKAGMOO_01049	group_3355
BOKAGMOO_01051	group_3356
BOKAGMOO_01052	group_3357
BOKAGMOO_01053	group_3358
BOKAGMOO_01056	group_3359
BOKAGMOO_01057	group_3360
BOKAGMOO_01058	group_2133
BOKAGMOO_01059	group_431
