genome_id	PA	n_genes	sporulation_ability	clade_name	Species
GCA_000158655.1	TRUE	45	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified|s__Clostridium_methylpentosum	Clostridium methylpentosum
GCA_000758905.1	TRUE	22	Non-spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis|g__Eubacteriales_Family_XIII_Incertae_Sedis_unclassified|s__Clostridiales_bacterium_S5_A14a	Clostridiales bacterium S5 A14a
GCA_001305135.1	TRUE	46	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified|s__Clostridia_bacterium_UC5_1_1D1	Clostridia bacterium UC5 1 1D1
GCA_001641065.1	TRUE	36	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Eubacteriales_unclassified|s__Clostridiales_bacterium_KLE1615	Clostridiales bacterium KLE1615
GCA_001717545.1	TRUE	19	Non-spore-former	k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae|g__Anaerolineaceae_unclassified|s__Anaerolineaceae_bacterium_oral_taxon_439	Anaerolineaceae bacterium oral taxon 439
GCA_002160795.1	TRUE	48	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Flavonifractor|s__Flavonifractor_sp_An135	Flavonifractor sp An135
GCA_003435055.1	TRUE	36	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_OF09_6	Lachnospiraceae bacterium OF09 6
GCA_003465375.1	TRUE	38	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_sp_AF13_28	Ruminococcus sp AF13 28
GCA_003478355.1	TRUE	43	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_AM48_27BH	Lachnospiraceae bacterium AM48 27BH
GCA_003479325.1	TRUE	39	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium_AF18_31LB	Clostridiaceae bacterium AF18 31LB
GCA_003479725.1	TRUE	44	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF12_28	Clostridium sp AF12 28
GCA_003490145.1	TRUE	44	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_OM04_12BH	Lachnospiraceae bacterium OM04 12BH
GCA_007845485.1	TRUE	12	Non-spore-former	k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified|f__Candidatus_Saccharibacteria_unclassified|g__Candidatus_Saccharibacteria_unclassified|s__TM7_phylum_sp_oral_taxon_348	TM7 phylum sp oral taxon 348
GCA_010202115.1	TRUE	13	Non-spore-former	k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified|f__Candidatus_Saccharibacteria_unclassified|g__Candidatus_Saccharibacteria_unclassified|s__Candidatus_Saccharibacteria_bacterium_oral_taxon_488	Candidatus Saccharibacteria bacterium oral taxon 488
GCA_018141845.1	TRUE	24	Non-spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_oral_taxon_096	Lachnospiraceae bacterium oral taxon 096
GCA_018223365.1	TRUE	39	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium_Marseille_Q4145	Clostridiaceae bacterium Marseille Q4145
GCA_018223375.1	TRUE	43	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium_Marseille_Q3526	Clostridiaceae bacterium Marseille Q3526
GCA_018223385.1	TRUE	43	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified|s__Oscillospiraceae_bacterium_Marseille_Q3528	Oscillospiraceae bacterium Marseille Q3528
GCA_018223415.1	TRUE	43	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacteriaceae_unclassified|s__Eubacteriaceae_bacterium_Marseille_Q4139	Eubacteriaceae bacterium Marseille Q4139
GCA_020540725.1	TRUE	42	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_EP_SM_12S_S03	Lachnospiraceae bacterium EP SM 12S S03
GCA_020555605.1	TRUE	43	Spore-former	k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__bacterium_210917_SL_2_15	bacterium 210917 SL 2 15
GCA_020560725.1	TRUE	42	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Colidextribacter|s__Colidextribacter_sp_210702_DFI_3_9	Colidextribacter sp 210702 DFI 3 9
GCA_025150425.1	TRUE	36	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified|s__Eubacterium_siraeum	Eubacterium siraeum
GCA_037245345.1	TRUE	39	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerotignum|s__Anaerotignum_faecicola	Anaerotignum faecicola
GCA_046983805.1	TRUE	43	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified|s__Clostridium_leptum	Clostridium leptum
GCA_048415895.1	TRUE	36	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_bicirculans	Ruminococcus bicirculans
GCA_958350975.1	TRUE	42	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Tyzzerella|s__Tyzzerella_nexilis	Tyzzerella nexilis
GCA_963587365.1	TRUE	30	Non-spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium_Marseille_Q4143	Clostridiaceae bacterium Marseille Q4143
GCA_963629905.1	TRUE	14	Non-spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_sp_AF41_9	Ruminococcus sp AF41 9
GCA_963646745.1	TRUE	42	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium_Marseille_Q4149	Clostridiaceae bacterium Marseille Q4149
GCF_000008865.2	TRUE	21	Non-spore-former	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	Escherichia coli
